Year,Countries and Territories,Import Value (EUR Thousand),Export Value (EUR Thousand),Balance (Euro Million)
2024,South Africa,67490.0793,78447.01,10.956930699999997
2024,South Korea,5394.4238000000005,31060.066,25.665642199999997
2024,Spain,395533.6762,377627.7352,-17.90594099999999
2024,Sweden,31563.4287,212613.61519999997,181.0501865
2024,Switzerland,90612.6987,93077.22600000001,2.4645273000000163
2024,Taiwan,2289.2977,26652.409,24.3631113
2024,Thailand,121238.098,72565.087,-48.673010999999995
2024,Turkey,40079.0882,48217.705,8.138616800000003
2024,USA,561235.7019,1764222.844,1202.9871421
2025,Australia,33874.068400000004,104216.641,70.3425726
2025,Austria,62641.172000000006,38383.8046,-24.257367400000003
2025,Belgium,462896.5396,418946.25419999997,-43.95028540000005
2025,Brazil,290389.6125,11877.159,-278.5124535
2025,Bulgaria,8546.1751,42512.0744,33.9658993
2025,Canada,257562.1707,161517.658,-96.0445127
2025,China,204823.25999999998,480002.562,275.179302
2025,Croatia,5970.0841,16413.1568,10.4430727
2025,Cyprus,4476.5395,20330.8138,15.8542743
2025,Czech Republic,21612.0361,70093.9323,48.4818962
2025,Denmark,127028.1211,159328.2311,32.300110000000004
2025,Estonia,2702.3914999999997,2738.9839,0.036592400000000455
2025,Finland,17474.6895,22697.5367,5.2228472
2025,France,764467.8651,1323032.2682999999,558.5644031999998
2025,Germany,932700.1057,1026456.8031,93.75669740000006
2025,Great Britain,3266342.8946,5072419.373,1806.0764783999994
2025,Greece,40348.621,53976.6485,13.628027500000004
2025,Hungary,14248.5638,17953.3212,3.7047573999999988
2025,India,90581.0588,38742.834,-51.8382248
2025,Italy,356478.7931,590125.2905,233.6464974
2025,Japan,5485.9324,148621.331,143.1353986
2025,Latvia,35838.1865,38119.4369,2.281250399999997
2025,Lithuania,40560.8148,13817.5216,-26.7432932
2025,Luxembourg,2201.7872,7550.3077,5.3485205
2025,Malaysia,56841.9759,54380.946,-2.461029899999994
2025,Malta,1316.5382,15726.0258,14.4094876
2025,Mexico,15618.0595,24183.568,8.5655085
2025,Netherlands,1484239.5159,1843981.0178,359.74150190000006
2025,Northern Ireland,2075905.7146,2356921.3299,281.0156152999997
2025,Norway,90558.9335,16262.447999999999,-74.29648549999999
2025,Poland,453966.3418,328612.0444,-125.35429739999998
2025,Portugal,55333.8478,109587.004,54.2531562
